,Word,Definitions
588,official,a worker who holds or is invested with an office
589,scrape,a harsh noise made by scraping
590,year,a period of time containing 365 (or 366) days
591,deter,NO DEFINITION FOUND
592,ground,the solid part of the earth's surface
593,fool,a person who lacks good judgment
594,safety,the state of being certain that adverse effects will not be caused by some agent under defined conditions
595,rank,a row or line of people (especially soldiers or police) standing abreast of one another
596,proof,any factual evidence that helps to establish the truth of something
597,vegetable,edible seeds or roots or stems or leaves or bulbs or tubers or nonsweet fruits of any of numerous herbaceous plant
598,suspect,someone who is under suspicion
599,deputy,someone authorized to exercise the powers of sheriff in emergencies
600,winner,the contestant who wins the contest
601,flavor,the general atmosphere of a place or situation and the effect that it has on people
602,lesson,a unit of instruction
603,sulphur,an abundant tasteless odorless multivalent nonmetallic element; best known in yellow crystals; occurs in many sulphide and sulphate minerals and even in native form (especially in volcanic regions)
604,chest,the part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates
605,output,final product; the things produced
606,offer,the verbal act of offering
607,nursery,a child's room for a baby
608,dirty,NO DEFINITION FOUND
609,skin,a natural protective body covering and site of the sense of touch
610,exclusive,a news report that is reported first by one news organization
611,benefit,financial assistance in time of need
612,quota,a prescribed number
613,chance,a possibility due to a favorable combination of circumstances
614,eagle,any of various large keen-sighted diurnal birds of prey noted for their broad wings and strong soaring flight
615,move,the act of deciding to do something
616,wife,a married woman; a man's partner in marriage
617,flourish,a showy gesture
618,marsh,low-lying wet land with grassy vegetation; usually is a transition zone between land and water
619,wage,something that remunerates
620,sea,a division of an ocean or a large body of salt water partially enclosed by land
621,excuse,a defense of some offensive behavior or some failure to keep a promise etc.
622,agent,an active and efficient cause; capable of producing a certain effect
623,traffic,the aggregation of things (pedestrians or vehicles) coming and going in a particular locality during a specified period of time
624,beat,a regular route for a sentry or policeman
625,decide,NO DEFINITION FOUND
626,decorative,NO DEFINITION FOUND
627,loose,NO DEFINITION FOUND
628,youth,a young person (especially a young man or boy)
629,thesis,an unproved statement put forward as a premise in an argument
630,leaf,the main organ of photosynthesis and transpiration in higher plants
631,variant,an event that departs from expectations
632,piano,a keyboard instrument that is played by depressing keys that cause hammers to strike tuned strings and produce sounds
633,responsibility,"the social force that binds you to the courses of action demanded by that force; every opportunity, an obligation; every possession, a duty""- John D.Rockefeller Jr"
634,march,the month following February and preceding April
635,extend,NO DEFINITION FOUND
636,rotation,the act of rotating as if on an axis
637,reflection,"a calm, lengthy, intent consideration"
638,entry,an item inserted in a written record
639,bread,food made from dough of flour or meal and usually raised with yeast or baking powder and then baked
640,distort,NO DEFINITION FOUND
641,unfortunate,a person who suffers misfortune
642,width,the extent of something from side to side
643,island,a land mass (smaller than a continent) that is surrounded by water
644,pollution,undesirable state of the natural environment being contaminated with harmful substances as a consequence of human activities
645,dividend,that part of the earnings of a corporation that is distributed to its shareholders; usually paid quarterly
646,dough,a flour mixture stiff enough to knead or roll
647,hobby,an auxiliary activity
648,hand,the (prehensile) extremity of the superior limb
649,mole,the molecular weight of a substance expressed in grams; the basic unit of amount of substance adopted under the Systeme International d'Unites
650,object,a tangible and visible entity; an entity that can cast a shadow
651,velvet,a silky densely piled fabric with a plain back
652,kill,the act of terminating a life
653,leash,restraint consisting of a rope (or light chain) used to restrain an animal
654,set,a group of things of the same kind that belong together and are so used
655,main,any very large body of (salt) water
656,hang,a special way of doing something
657,dentist,a person qualified to practice dentistry
658,credit,approval
659,pneumonia,respiratory disease characterized by inflammation of the lung parenchyma (excluding the bronchi) with congestion caused by viruses or bacteria or irritants
